HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
3	5	3.4	3.5	2.15	1	2	-1	2	3	3
3	1	2.63	3.5	2.63	2	1	1	2	2	2
7	3	2.05	3.5	3.6	0	0	0	0	1	3
4	2	2.4	3.3	3	0	0	0	1	2	3
1	5	2.75	3.5	2.5	1	2	-1	1	3	3
4	1	5	3.75	1.7	0	1	-1	2	2	2
0	3	2.25	3.5	3.1	2	1	1	4	3	1
2	3	1.4	5	7.5	1	0	1	3	0	1
5	0	1.53	4.33	6	0	0	0	4	3	1
2	1	2.1	3.5	3.5	0	2	-2	2	4	3
0	3	1.4	5	7.5	0	1	-1	1	2	3
3	3	1.36	5.25	8	0	0	0	2	2	2
2	2	2.9	3.5	2.4	3	1	2	3	1	1
2	0	1.36	5	8.5	3	0	3	5	0	1
