League	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
1	3.5	3.5	2.2	2	1	1	2	1	1
1	6	4	1.65	0	1	-1	0	1	3
1	3.4	3.4	2.3	0	2	-2	1	2	3
1	2.3	3.4	3.4	2	0	2	3	1	1
1	1.95	3.6	4.33	0	0	0	1	0	1
1	5	4	1.75	1	0	1	1	2	3
1	2	3.6	4	3	1	2	3	2	1
1	2.63	3.3	2.9	1	1	0	2	2	2
1	3.3	3.6	2.25	0	1	-1	0	2	3
1	2.1	3.4	4	0	1	-1	1	3	3
1	4.1	3.7	1.95	0	1	-1	1	2	3
1	1.36	5	11	0	1	-1	2	1	1
1	1.36	5.5	9	0	0	0	0	0	2
1	2.1	3.5	3.8	0	0	0	1	0	1
1	2.38	3.4	3.25	0	0	0	1	1	2
1	2.2	3.4	3.6	1	1	0	2	2	2
1	2.3	3.5	3.3	0	0	0	1	2	3
1	1.25	6.5	14	0	0	0	3	1	1
1	2.3	3.3	3.5	0	0	0	1	1	2
1	1.44	4.75	8	1	0	1	2	0	1
1	8	4.75	1.45	0	0	0	0	0	2
1	1.91	3.75	4.2	0	0	0	1	1	2
1	1.95	3.5	4.5	0	1	-1	0	3	3
1	7	3.9	1.6	0	1	-1	0	2	3
1	1.75	3.9	5	0	0	0	0	0	2
1	4.75	3.8	1.8	0	2	-2	0	3	3
1	1.25	6.5	14	0	0	0	1	0	1
1	5.5	3.9	1.7	1	1	0	2	2	2
1	5	4	1.75	0	1	-1	0	1	3
1	1.75	3.8	5.25	0	0	0	2	1	1
1	2.25	3.4	3.5	0	1	-1	0	2	3
1	3.4	3.4	2.3	1	0	1	1	0	1
1	2.38	3.5	3.1	0	0	0	0	0	2
1	2.25	3.5	3.4	0	1	-1	1	1	2
1	2.3	3.5	3.3	1	0	1	2	0	1
1	2.15	3.6	3.6	0	1	-1	2	2	2
1	3.25	3.6	2.3	0	1	-1	3	1	1
1	1.25	6.75	13	3	0	3	3	0	1
1	1.5	4.5	7.5	1	0	1	1	0	1
1	1.29	6	12	1	0	1	2	1	1
1	2.88	3.6	2.5	0	2	-2	0	6	3
1	1.85	3.75	4.6	0	1	-1	0	3	3
1	2.25	3.3	3.6	0	0	0	1	0	1
1	3.8	3.6	2.05	1	1	0	2	2	2
