HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTH-AG	FTHG	FTAG	FTR
3	2	1.73	3.9	5.25	2	0	2	3	0	1
3	1	1.83	3.75	4.75	2	1	1	3	3	2
3	2	5	3.75	1.8	0	0	0	1	3	3
4	0	1.48	4.75	7.5	2	0	2	4	0	1
4	2	2.3	3.3	3.5	0	1	-1	1	2	3
0	3	2.05	3.5	4	0	0	0	1	2	3
6	3	2.45	3.25	3.25	0	1	-1	0	3	3
5	1	1.29	6	13	1	0	1	3	0	1
5	2	2.75	3.3	2.8	1	0	1	1	0	1
0	5	1.33	5.75	10	3	1	2	4	1	1
1	3	4.2	3.7	1.95	0	1	-1	0	4	3
2	1	2.4	3.3	3.25	0	1	-1	0	1	3
2	2	2.5	3.4	3	2	0	2	3	0	1
3	3	9	5	1.4	1	1	0	1	2	3
4	2	1.57	4.2	6.5	1	1	0	5	1	1
0	3	2.15	3.3	3.9	0	0	0	1	0	1
5	4	2.15	3.5	3.6	1	0	1	1	0	1
2	3	1.45	4.75	8	0	0	0	0	1	3
2	1	2.1	3.4	3.9	1	0	1	1	0	1
3	4	4.75	3.7	1.83	0	0	0	0	1	3
2	0	3.1	3.6	2.38	3	1	2	3	3	2
6	3	2.45	3.7	2.9	2	0	2	3	2	1
3	3	5	3.6	1.83	0	0	0	0	1	3
2	3	1.4	5	9	1	1	0	3	1	1
2	3	1.4	4.75	10	0	1	-1	2	3	3
2	2	1.17	9	17	1	0	1	2	2	2
4	1	3.4	3.4	2.1	0	0	0	0	0	2
4	1	2.38	3.2	3	0	1	-1	1	1	2
3	1	1.18	7	13	1	1	0	1	2	3
0	6	2.63	3.3	2.6	1	1	0	1	2	3
2	2	1.5	4.2	6.5	1	1	0	3	1	1
1	7	2.2	3.2	3.4	0	0	0	0	1	3
1	2	2.4	3.4	2.8	2	0	2	2	0	1
2	0	4.5	3.6	1.8	0	2	-2	0	3	3
1	2	8.5	5	1.33	0	2	-2	2	3	3
4	2	1.2	7	11	3	1	2	3	1	1
1	1	2.3	3.4	3.4	0	0	0	2	2	2
4	0	1.36	5.25	9.5	1	0	1	4	0	1
2	4	2.8	3.5	2.6	2	0	2	2	0	1
3	3	3.2	3.4	2.38	0	1	-1	0	1	3
3	4	1.7	3.75	6	2	1	1	4	1	1
3	3	1.91	3.75	4.33	1	0	1	1	0	1
1	6	7.5	5	1.44	0	2	-2	0	2	3
6	3	1.67	4.2	5.25	0	1	-1	0	2	3
4	3	1.91	3.75	4.33	2	0	2	4	0	1
7	0	1.29	6	12	2	0	2	3	0	1
4	2	2.5	3.3	3.1	3	1	2	3	1	1
1	1	5	4	1.75	1	2	-1	2	3	3
3	0	1.36	5.75	8.5	0	1	-1	0	1	3
5	1	2.05	3.6	3.8	1	0	1	3	0	1
1	1	2.3	3.6	3.25	1	0	1	4	1	1
0	3	2.5	3.4	3	0	0	0	0	1	3
6	1	4.33	3.75	1.91	2	0	2	2	0	1
4	2	1.29	6	13	1	0	1	1	0	1
3	1	1.2	7.5	17	0	0	0	0	0	2
4	2	9	5	1.4	0	1	-1	3	3	2
3	0	1.36	5.5	9	1	0	1	3	1	1
5	1	1.14	9.5	21	0	0	0	4	0	1
5	0	2.1	3.2	4.2	2	0	2	2	0	1
0	5	8	4.75	1.44	1	0	1	1	2	3
5	1	2.63	3.5	2.8	0	1	-1	2	2	2
0	4	4	3.6	2	0	1	-1	0	2	3
2	1	1.22	7.5	13	0	1	-1	2	1	1
8	0	1.17	9	17	1	0	1	2	0	1
2	3	4.5	3.8	1.85	0	0	0	0	2	3
3	0	2.63	3.5	2.8	1	0	1	1	1	2
4	3	2.3	3.4	3.4	0	2	-2	1	3	3
5	1	1.5	4.5	7.5	3	0	3	3	0	1
6	3	2.1	3.6	3.75	0	1	-1	1	2	3
